,scheduled_date_h,flight_num,scheduled_date,airport,destination,scheduled_time,airline,"('delay', 'median')"
0,4,IRC600,2022-01-24,Tehran,Mashhad,04:40:00,Aseman,
1,4,QSM1218,2022-01-24,Tehran,Bushehr,04:45:00,GheshmAir,
2,5,CPN020,2022-01-24,Tehran,Ahwaz,05:10:00,Caspian,
3,5,IRC862,2022-01-24,Tehran,Yazd,05:15:00,Aseman,
4,5,TBZ5668,2022-01-24,Tehran,Tabriz,05:15:00,Ata,
5,5,IRB961,2022-01-24,Mashhad,Tehran,05:30:00,IranAirTour,
6,5,IRM1050,2022-01-24,Kerman,Tehran,05:30:00,Mahan,20.0
7,5,TBZ5677,2022-01-24,Tehran,Urumia,05:30:00,Ata,
8,5,VRH5852,2022-01-24,Tehran,Ahwaz,05:35:00,Varsh,
9,6,KRU2531,2022-01-24,Ahwaz,Siri,06:00:00,Karun,
10,6,TBZ5699,2022-01-24,Mashhad,Tehran,06:00:00,Ata,
11,6,IRA236,2022-01-24,Tehran,Shiraz/BandarLengeh,06:10:00,IranAir,
12,6,IRC3770,2022-01-24,Shiraz,Tehran,06:10:00,Aseman,
13,6,IRZ182,2022-01-24,Tehran,BandarAbbas,06:10:00,Saha,
14,6,IRB956,2022-01-24,Tehran,Ahwaz,06:15:00,IranAirTour,
15,6,IRC3792,2022-01-24,Shiraz,BandarAbbas,06:15:00,Aseman,
16,6,IRM1016,2022-01-24,Tehran,Asaluyeh,06:15:00,Mahan,
17,6,VRH5816,2022-01-24,Tehran,BandarAbbas,06:15:00,Varsh,
18,6,IRA3409,2022-01-24,Tehran,Kermanshah,06:20:00,IranAir,
19,6,KIS7055,2022-01-24,Tehran,Kish,06:20:00,KishAir,24.5
20,6,QSM1256,2022-01-24,Tehran,Khark,06:20:00,GheshmAir,
21,6,CPN038,2022-01-24,Tehran,Shiraz,06:25:00,Caspian,
22,6,IRM1081,2022-01-24,Tehran,Mashhad,06:25:00,Mahan,
23,6,TBZ5601,2022-01-24,Tabriz,Tehran,06:25:00,Ata,
24,6,IRA292,2022-01-24,Tehran,Yazd,06:30:00,IranAir,
25,6,SHI4311,2022-01-24,Mashhad,Tehran,06:30:00,Sepehran,
26,6,TBZ5629,2022-01-24,Tehran,Mashhad,06:30:00,Ata,
27,6,VRH5858,2022-01-24,Tehran,Chabahar,06:30:00,Varsh,
28,6,IRZ130,2022-01-24,Tehran,Ahwaz,06:35:00,Saha,
29,6,KRU2628,2022-01-24,Tehran,Shiraz,06:35:00,Karun,
30,6,TBN6283,2022-01-24,Tehran,Shiraz,06:40:00,Taban,
31,6,IRC3914,2022-01-24,Tehran,Bushehr,06:45:00,Aseman,
32,6,PRS4410,2022-01-24,Tehran,IranShahr,06:45:00,ParsAir,
33,6,MRJ2816,2022-01-24,Tehran,Asaluyeh,06:50:00,Meraj,
34,6,IZG4051,2022-01-24,Tehran,Kish,06:55:00,Zagros,24.5
35,7,IRB948,2022-01-24,Mashhad,Kish,07:00:00,IranAirTour,
36,7,IZG4035,2022-01-24,Tehran,Gheshm,07:00:00,Zagros,
37,7,KRU2671,2022-01-24,Ahwaz,Shiraz,07:00:00,Karun,
38,7,PRS4402,2022-01-24,Tehran,Birjand,07:00:00,ParsAir,
39,7,TBN6221,2022-01-24,Mashhad,Tehran,07:00:00,Taban,
40,7,FPI7436,2022-01-24,Tehran,Mahshahr,07:05:00,FlyPersia,
41,7,IRC850,2022-01-24,Tehran,Zahedan,07:05:00,Aseman,
42,7,VRH5820,2022-01-24,Tehran,Kish,07:05:00,Varsh,
43,7,CPN021,2022-01-24,Ahwaz,Tehran,07:10:00,Caspian,
44,7,IRA3310,2022-01-24,Tehran,Isfahan,07:10:00,IranAir,
45,7,TBZ5667,2022-01-24,Tabriz,Tehran,07:10:00,Ata,
46,7,QSM1279,2022-01-24,Bushehr,Khark,07:15:00,GheshmAir,
47,7,IRA3331,2022-01-24,Tehran,Rasht,07:20:00,IranAir,
48,7,IRC601,2022-01-24,Mashhad,Tehran,07:25:00,Aseman,
49,7,IRC863,2022-01-24,Yazd,Tehran,07:30:00,Aseman,
50,7,TBZ5678,2022-01-24,Urumia,Tehran,07:30:00,Ata,
51,7,CPN022,2022-01-24,Tehran,Mashhad,07:35:00,Caspian,
52,7,TBN6261,2022-01-24,Tehran,Kish,07:35:00,Taban,
53,7,PYA2310,2022-01-24,Tehran,Gorgan,07:40:00,Pouya,
54,7,IRB960,2022-01-24,Tehran,Mashhad,07:45:00,IranAirTour,
55,7,IZG4107,2022-01-24,Mashhad,Kish,07:50:00,Zagros,
56,8,IRB957,2022-01-24,Ahwaz,Tehran,08:00:00,IranAirTour,
57,8,SHI4335,2022-01-24,Mashhad,Kish,08:00:00,Sepehran,
58,8,VRH5853,2022-01-24,Ahwaz,Tehran,08:00:00,Varsh,
59,8,IRM1051,2022-01-24,Tehran,Kerman,08:10:00,Mahan,
60,8,IRA236,2022-01-24,Shiraz,BandarLengeh,08:20:00,IranAir,
61,8,IRM4520,2022-01-24,Tehran,Gachsaran,08:20:00,Mahan,
62,8,TBZ5602,2022-01-24,Tehran,Tabriz,08:20:00,Ata,
63,8,CPN039,2022-01-24,Shiraz,Tehran,08:25:00,Caspian,
64,8,IRC3771,2022-01-24,Tehran,Shiraz,08:25:00,Aseman,
65,8,IRZ131,2022-01-24,Ahwaz,Tehran,08:25:00,Saha,
66,8,IRA293,2022-01-24,Yazd,Tehran,08:30:00,IranAir,
67,8,IRA3408,2022-01-24,Kermanshah,Tehran,08:30:00,IranAir,
68,8,IRM4560,2022-01-24,Isfahan,Tabriz,08:30:00,Mahan,
69,8,KIS7087,2022-01-24,Tehran,Tabriz,08:30:00,KishAir,
70,8,MRJ2802,2022-01-24,Tehran,Mashhad,08:30:00,Meraj,
71,8,SHI4343,2022-01-24,Mashhad,BandarAbbas,08:30:00,Sepehran,
72,8,QSM1280,2022-01-24,Tehran,Isfahan,08:35:00,GheshmAir,
73,8,TBZ5627,2022-01-24,Tehran,Ahwaz,08:35:00,Ata,
74,8,KRU2578,2022-01-24,Shiraz,Lavan,08:40:00,Karun,
75,8,TBZ5663,2022-01-24,Mashhad,Urumia,08:40:00,Ata,
76,8,KRU2670,2022-01-24,Shiraz,Ahwaz,08:45:00,Karun,
77,8,IRC3915,2022-01-24,Bushehr,Tehran,08:50:00,Aseman,
78,8,IRA3315,2022-01-24,Rasht,Tabriz,08:55:00,IranAir,
79,8,PRS4403,2022-01-24,Birjand,Tehran,08:55:00,ParsAir,
80,9,IRM4569,2022-01-24,Tehran,Bojnourd,09:00:00,Mahan,
81,9,IRA3423,2022-01-24,Isfahan,Ramsar,09:10:00,IranAir,
82,9,SHI4310,2022-01-24,Tehran,Mashhad,09:10:00,Sepehran,
83,9,TBZ5675,2022-01-24,Tabriz,Ahwaz,09:10:00,Ata,
84,9,IRA3376,2022-01-24,Shiraz,Kish,09:15:00,IranAir,
85,9,IZG4117,2022-01-24,Mashhad,Kermanshah,09:15:00,Zagros,
86,9,TBN6293,2022-01-24,Tehran,Gheshm,09:15:00,Taban,
87,9,CPN6986,2022-01-24,Tehran,Zahedan,09:20:00,Caspian,
88,9,PYA2312,2022-01-24,Gorgan,BandarAbbas,09:20:00,Pouya,
89,9,IRA273,2022-01-24,Tehran,Urumia,09:25:00,IranAir,
90,9,TBZ5687,2022-01-24,Tehran,Bushehr,09:30:00,Ata,
91,9,IRC3973,2022-01-24,Sari,Mashhad,09:35:00,Aseman,
92,9,IRC630,2022-01-24,Tehran,Gorgan,09:35:00,Aseman,
93,9,IRC852,2022-01-24,Zahedan,Mashhad,09:35:00,Aseman,
94,9,CPN6958,2022-01-24,Mashhad,Isfahan,09:40:00,Caspian,
95,10,IRB950,2022-01-24,Mashhad,Tabriz,10:00:00,IranAirTour,
96,10,TBZ5691,2022-01-24,Tehran,Gheshm,10:00:00,Ata,
97,10,IRC840,2022-01-24,Tehran,Ilam,10:05:00,Aseman,
98,10,QSM1219,2022-01-24,Bushehr,Tehran,10:05:00,GheshmAir,
99,10,QSM1306,2022-01-24,Shiraz,Khark,10:05:00,GheshmAir,
100,10,IRB916,2022-01-24,Tehran,Kish,10:10:00,IranAirTour,
101,10,KRU2511,2022-01-24,Ahwaz,Zahedan,10:15:00,Karun,
102,10,VRH5840,2022-01-24,Tehran,Mashhad,10:15:00,Varsh,
103,10,IRA345,2022-01-24,Tehran,Tabriz,10:20:00,IranAir,
104,10,QSM1238,2022-01-24,Isfahan,Khark,10:20:00,GheshmAir,
105,10,TBZ5607,2022-01-24,Tabriz,Tehran,10:20:00,Ata,
106,10,CPN6960,2022-01-24,Tehran,BandarAbbas,10:25:00,Caspian,
107,10,CPN044,2022-01-24,Tehran,Kish,10:30:00,Caspian,
108,10,KIS7086,2022-01-24,Tabriz,Tehran,10:30:00,KishAir,
109,10,TBZ5628,2022-01-24,Ahwaz,Tehran,10:30:00,Ata,
110,10,IRC3804,2022-01-24,Shiraz,Kish,10:35:00,Aseman,
111,10,IRC3812,2022-01-24,Shiraz,Tabriz,10:35:00,Aseman,
112,10,IRA3351,2022-01-24,Tehran,Ilam,10:40:00,IranAir,
113,10,SHI4330,2022-01-24,Tehran,Gheshm,10:45:00,Sepehran,
114,11,IRA441,2022-01-24,Mashhad,Kish,11:00:00,IranAir,
115,11,IRM4568,2022-01-24,Bojnourd,Tehran,11:00:00,Mahan,
116,11,IRM4594,2022-01-24,Kerman,Kish,11:00:00,Mahan,
117,11,MRJ2818,2022-01-24,Tehran,Kish,11:00:00,Meraj,
118,11,IRA3314,2022-01-24,Tabriz,Rasht,11:05:00,IranAir,
119,11,IRC631,2022-01-24,Gorgan,Tehran,11:10:00,Aseman,
120,11,IRC602,2022-01-24,Tehran,Mashhad,11:15:00,Aseman,
121,11,KIS7121,2022-01-24,Yazd,Kish,11:15:00,KishAir,
122,11,IZG4004,2022-01-24,Isfahan,Kish,11:30:00,Zagros,
123,11,KIS7073,2022-01-24,Mashhad,Kish,11:30:00,KishAir,
124,11,KRU2629,2022-01-24,Shiraz,Tehran,11:30:00,Karun,
125,11,PRS4400,2022-01-24,Tehran,Yasooj,11:30:00,ParsAir,
126,11,IRA272,2022-01-24,Urumia,Tehran,11:35:00,IranAir,
127,11,IRC853,2022-01-24,Mashhad,Zahedan,11:40:00,Aseman,
128,11,SHI4336,2022-01-24,Mashhad,Gheshm,11:40:00,Sepehran,
129,11,TBZ5664,2022-01-24,Urumia,Mashhad,11:40:00,Ata,
130,11,IRC841,2022-01-24,Ilam,Tehran,11:50:00,Aseman,
131,11,TBZ5688,2022-01-24,Bushehr,Tehran,11:50:00,Ata,
132,11,IRA237,2022-01-24,Shiraz,Tehran,11:55:00,IranAir,
133,12,CPN6959,2022-01-24,Isfahan,Mashhad,12:00:00,Caspian,
134,12,IZG4116,2022-01-24,Kermanshah,Mashhad,12:00:00,Zagros,
135,12,KIS7121,2022-01-24,Yazd,Kish,12:00:00,KishAir,
136,12,VRH5814,2022-01-24,Tehran,BandarAbbas,12:00:00,Varsh,
137,12,CPN6987,2022-01-24,Zahedan,Tehran,12:05:00,Caspian,
138,12,KIS7023,2022-01-24,Isfahan,Kish,12:15:00,KishAir,
139,12,VRH5818,2022-01-24,Tehran,Mashhad,12:15:00,Varsh,
140,12,IRA344,2022-01-24,Tabriz,Tehran,12:25:00,IranAir,
141,12,MRJ2814,2022-01-24,Tehran,Chabahar,12:25:00,Meraj,
142,12,IRB926,2022-01-24,Rasht,Kish,12:30:00,IranAirTour,
143,12,TBZ5698,2022-01-24,Tehran,Mashhad,12:30:00,Ata,
144,12,VRH5802,2022-01-24,Mashhad,Sari,12:30:00,Varsh,
145,12,IRA3330,2022-01-24,Rasht,Tehran,12:35:00,IranAir,
146,12,TBZ5608,2022-01-24,Tehran,Tabriz,12:35:00,Ata,
147,12,PRS4412,2022-01-24,Tehran,Jahrom,12:40:00,ParsAir,
148,12,IRB951,2022-01-24,Tabriz,Mashhad,12:45:00,IranAirTour,
149,12,KIS7053,2022-01-24,Tehran,Kish,12:45:00,KishAir,
150,12,IRA3350,2022-01-24,Ilam,Tehran,12:50:00,IranAir,
151,12,VRH5866,2022-01-24,Tehran,Isfahan,12:50:00,Varsh,
152,13,IRC3813,2022-01-24,Tabriz,Shiraz,13:00:00,Aseman,
153,13,IRM4572,2022-01-24,Tehran,Ilam,13:10:00,Mahan,
154,13,IRC620,2022-01-24,Tehran,Kermanshah,13:15:00,Aseman,
155,13,KRU2510,2022-01-24,Zahedan,Ahwaz,13:15:00,Karun,
156,13,IRM1018,2022-01-24,Tehran,Asaluyeh,13:20:00,Mahan,
157,13,IZG4036,2022-01-24,Kermanshah,Kish,13:20:00,Zagros,
158,13,IRC3736,2022-01-24,Mashhad,Abadan,13:30:00,Aseman,
159,13,TBN6227,2022-01-24,Tehran,Gheshm,13:30:00,Taban,
160,13,IRA3311,2022-01-24,Isfahan,Tehran,13:40:00,IranAir,
161,13,IRM4561,2022-01-24,Isfahan,Kerman,13:40:00,Mahan,
162,13,IRC851,2022-01-24,Zahedan,Tehran,13:45:00,Aseman,
163,13,IZG4043,2022-01-24,Tehran,Kerman,13:50:00,Zagros,45.0
164,13,TBZ5609,2022-01-24,Tabriz,Tehran,13:50:00,Ata,
165,13,SHI4356,2022-01-24,Mashhad,Tabriz,13:55:00,Sepehran,
166,13,TBZ5659,2022-01-24,Tehran,Kish,13:55:00,Ata,
167,14,IRC3844,2022-01-24,Tehran,Ilam,14:10:00,Aseman,
168,14,IRM1043,2022-01-24,Tehran,Kish,14:10:00,Mahan,
169,14,QSM1281,2022-01-24,Isfahan,Tehran,14:10:00,GheshmAir,
170,14,CPN023,2022-01-24,Mashhad,Tehran,14:15:00,Caspian,
171,14,TBN6263,2022-01-24,Tehran,Kish,14:20:00,Taban,
172,14,IRZ170,2022-01-24,Tehran,Mashhad,14:25:00,Saha,
173,14,TBN6284,2022-01-24,Shiraz,Tehran,14:30:00,Taban,
174,14,VRH5803,2022-01-24,Sari,Mashhad,14:30:00,Varsh,
175,14,VRH5819,2022-01-24,Mashhad,Tehran,14:30:00,Varsh,
176,14,IRZ174,2022-01-24,Tehran,Kish,14:35:00,Saha,
177,14,IRC621,2022-01-24,Kermanshah,Tehran,14:40:00,Aseman,
178,14,IRM1026,2022-01-24,Tehran,Ardabil,14:40:00,Mahan,
179,14,TBZ5630,2022-01-24,Mashhad,Tehran,14:40:00,Ata,
180,14,IRM1080,2022-01-24,Mashhad,Tehran,14:45:00,Mahan,
181,14,QSM1220,2022-01-24,Tehran,BandarAbbas,14:45:00,GheshmAir,
182,14,FPI7414,2022-01-24,Tehran,Mahshahr,14:50:00,FlyPersia,
183,14,KRU2547,2022-01-24,Ahwaz,Khark,14:50:00,Karun,
184,14,PYA2311,2022-01-24,Gorgan,Tehran,14:50:00,Pouya,
185,14,IRA216,2022-01-24,Tehran,Birjand,14:55:00,IranAir,
186,15,TBZ5641,2022-01-24,Mashhad,Ahwaz,15:00:00,Ata,
187,15,IRA3370,2022-01-24,Tehran,Rafsanjan,15:05:00,IranAir,
188,15,IZG4021,2022-01-24,Tehran,Ahwaz,15:05:00,Zagros,
189,15,CPN6984,2022-01-24,Tehran,Kish,15:20:00,Caspian,
190,15,CPN048,2022-01-24,Tehran,Shiraz,15:30:00,Caspian,
191,15,IRM4573,2022-01-24,Ilam,Tehran,15:30:00,Mahan,
192,15,IZG4135,2022-01-24,Mashhad,Gheshm,15:30:00,Zagros,
193,15,QSM1299,2022-01-24,Shiraz,Tehran,15:30:00,GheshmAir,
194,15,TBN6257,2022-01-24,Mashhad,Tehran,15:30:00,Taban,
195,15,IRC3768,2022-01-24,Shiraz,Tehran,15:35:00,Aseman,
196,15,IRM1054,2022-01-24,Kerman,Tehran,15:40:00,Mahan,
197,15,IRB924,2022-01-24,Mashhad,Shiraz,15:45:00,IranAirTour,
198,15,KIS7089,2022-01-24,Tehran,BandarAbbas,15:50:00,KishAir,
199,15,CPN026,2022-01-24,Tehran,Mashhad,15:55:00,Caspian,
200,15,IRC3845,2022-01-24,Ilam,Tehran,15:55:00,Aseman,
201,16,IRB972,2022-01-24,Tabriz,Kish,16:00:00,IranAirTour,
202,16,PRS4406,2022-01-24,Tehran,Shiraz,16:00:00,ParsAir,
203,16,TBZ5603,2022-01-24,Tabriz,Tehran,16:00:00,Ata,
204,16,IRC3737,2022-01-24,Abadan,Mashhad,16:15:00,Aseman,
205,16,IRC818,2022-01-24,Shiraz,Zahedan,16:15:00,Aseman,
206,16,IZG4042,2022-01-24,Kerman,Tehran,16:15:00,Zagros,
207,16,KIS7061,2022-01-24,Shiraz,Kish,16:15:00,KishAir,
208,16,MRJ2864,2022-01-24,Isfahan,Kish,16:15:00,Meraj,
209,16,IRA234,2022-01-24,Tehran,Shiraz,16:25:00,IranAir,
210,16,IRC822,2022-01-24,Tehran,Asaluyeh,16:30:00,Aseman,
211,16,IRZ171,2022-01-24,Mashhad,Tehran,16:30:00,Saha,
212,16,VRH5854,2022-01-24,Mashhad,Isfahan,16:30:00,Varsh,
213,16,TBZ5613,2022-01-24,Tehran,Isfahan,16:35:00,Ata,
214,16,IRA3471,2022-01-24,Tehran,Ahwaz,16:45:00,IranAir,
215,16,IRM1027,2022-01-24,Ardabil,Tehran,16:45:00,Mahan,
216,16,VRH5836,2022-01-24,Tehran,Shiraz,16:45:00,Varsh,
217,16,KRU2610,2022-01-24,Tehran,Dezfoul,16:50:00,Karun,
218,16,SHI4357,2022-01-24,Tabriz,Mashhad,16:50:00,Sepehran,
219,16,IRC3854,2022-01-24,Tehran,Urumia,16:55:00,Aseman,
220,17,IZG4020,2022-01-24,Ahwaz,Tehran,17:05:00,Zagros,
221,17,PRS4442,2022-01-24,Tehran,Yazd,17:10:00,ParsAir,
222,17,IRA217,2022-01-24,Birjand,Tehran,17:15:00,IranAir,
223,17,KIS7081,2022-01-24,Tehran,Kish,17:15:00,KishAir,
224,17,IRM1073,2022-01-24,Tehran,Sirjan,17:20:00,Mahan,
225,17,IRC832,2022-01-24,Tehran,Ahwaz,17:30:00,Aseman,
226,17,CPN6919,2022-01-24,Shiraz,Mashhad,17:35:00,Caspian,
227,17,IRA3318,2022-01-24,Tehran,Sari,17:35:00,IranAir,
228,17,KRU2623,2022-01-24,Ahwaz,Isfahan,17:40:00,Karun,
229,17,TBN6297,2022-01-24,Tehran,Kish,17:40:00,Taban,
230,17,SHI4332,2022-01-24,Tehran,BandarAbbas,17:45:00,Sepehran,
231,17,SHI4345,2022-01-24,Mashhad,Kish,17:45:00,Sepehran,
232,17,VRH5826,2022-01-24,Sari,BandarAbbas,17:45:00,Varsh,
233,17,IRC3769,2022-01-24,Tehran,Shiraz,17:50:00,Aseman,
234,17,MRJ2862,2022-01-24,Isfahan,Mashhad,17:50:00,Meraj,
235,17,IRC3806,2022-01-24,Shiraz,Kish,17:55:00,Aseman,
236,18,CPN6904,2022-01-24,Mashhad,Isfahan,18:00:00,Caspian,
237,18,IRB925,2022-01-24,Shiraz,Mashhad,18:00:00,IranAirTour,
238,18,IZG4071,2022-01-24,Tehran,Kish,18:00:00,Zagros,
239,18,QSM1268,2022-01-24,Tehran,Gheshm,18:00:00,GheshmAir,
240,18,TBZ5636,2022-01-24,Ahwaz,Tehran,18:00:00,Ata,
241,18,TBZ5604,2022-01-24,Tehran,Tabriz,18:05:00,Ata,
242,18,IRC624,2022-01-24,Tehran,Kermanshah,18:10:00,Aseman,
243,18,PRS4448,2022-01-24,Shiraz,Kermanshah,18:10:00,ParsAir,
244,18,QSM1298,2022-01-24,Tehran,Shiraz,18:10:00,GheshmAir,
245,18,IRC639,2022-01-24,Zahedan,Gorgan,18:15:00,Aseman,
246,18,IRM1055,2022-01-24,Tehran,Kerman,18:20:00,Mahan,20.0
247,18,IRB900,2022-01-24,Mashhad,Tabriz,18:30:00,IranAirTour,
248,18,KIS7099,2022-01-24,Sari,Kish,18:30:00,KishAir,
249,18,TBZ5614,2022-01-24,Isfahan,Tehran,18:30:00,Ata,
250,18,TBZ5654,2022-01-24,Isfahan,Kish,18:30:00,Ata,
251,18,MRJ2820,2022-01-24,Tehran,Kish,18:35:00,Meraj,
252,18,IRZ156,2022-01-24,Tehran,Shiraz,18:40:00,Saha,
253,18,IRC3855,2022-01-24,Urumia,Tehran,18:45:00,Aseman,
254,18,IRM4577,2022-01-24,Tehran,Bam,18:50:00,Mahan,
255,18,PRS4443,2022-01-24,Yazd,Tehran,18:55:00,ParsAir,
256,18,TBN6304,2022-01-24,Tehran,Mashhad,18:55:00,Taban,
257,19,IRC618,2022-01-24,Mashhad,Yazd,19:00:00,Aseman,
258,19,SEP2702,2022-01-24,Tehran,Shiraz/Zahedan,19:00:00,GhadrAir,
259,19,TBN6245,2022-01-24,Tehran,Ahwaz,19:00:00,Taban,
260,19,VRH5837,2022-01-24,Shiraz,Tehran,19:00:00,Varsh,
261,19,VRH5855,2022-01-24,Isfahan,Mashhad,19:00:00,Varsh,
262,19,FPI7416,2022-01-24,Tehran,Kish,19:05:00,FlyPersia,
263,19,IRA3336,2022-01-24,Ahwaz,Isfahan,19:05:00,IranAir,
264,19,IRA3368,2022-01-24,Sari,Mashhad,19:05:00,IranAir,
265,19,IZG4049,2022-01-24,Tehran,Zahedan,19:05:00,Zagros,
266,19,CPN6939,2022-01-24,Abadan,Tehran,19:15:00,Caspian,
267,19,IRC3872,2022-01-24,Ahwaz,Isfahan,19:15:00,Aseman,
268,19,KRU2622,2022-01-24,Isfahan,Ahwaz,19:20:00,Karun,
269,19,IRZ172,2022-01-24,Tehran,Bushehr,19:25:00,Saha,
270,19,IZG4019,2022-01-24,Tehran,BandarAbbas,19:25:00,Zagros,
271,19,TBZ5620,2022-01-24,Mashhad,Tehran,19:30:00,Ata,
272,19,IRC625,2022-01-24,Kermanshah,Tehran,19:40:00,Aseman,
273,19,TBZ5623,2022-01-24,Tehran,Shiraz,19:40:00,Ata,
274,19,TBN6222,2022-01-24,Tehran,Mashhad,19:45:00,Taban,
275,19,IRA458,2022-01-24,Tehran,BandarAbbas,19:50:00,IranAir,
276,19,SHI4341,2022-01-24,Mashhad,Tehran,19:50:00,Sepehran,
277,19,TBZ5635,2022-01-24,Tehran,Ahwaz,19:55:00,Ata,
278,20,TBZ5605,2022-01-24,Tabriz,Tehran,20:00:00,Ata,
279,20,CPN6918,2022-01-24,Mashhad,Shiraz,20:05:00,Caspian,
280,20,IRB963,2022-01-24,Mashhad,Tehran,20:15:00,IranAirTour,
281,20,IRC3890,2022-01-24,Shiraz,Ahwaz,20:20:00,Aseman,
282,20,IRC638,2022-01-24,Gorgan,Zahedan,20:20:00,Aseman,
283,20,CPN6905,2022-01-24,Isfahan,Mashhad,20:25:00,Caspian,
284,20,IRA3417,2022-01-24,Tehran,Dezfoul,20:25:00,IranAir,
285,20,PRS4447,2022-01-24,Kermanshah,Shiraz,20:25:00,ParsAir,
286,20,PRS4449,2022-01-24,Kermanshah,Shiraz,20:25:00,ParsAir,
287,20,TBZ5680,2022-01-24,Tehran,Urumia,20:30:00,Ata,
288,20,QSM1224,2022-01-24,Tehran,Kish,20:35:00,GheshmAir,
289,20,CPN6951,2022-01-24,Yazd,Tehran,20:40:00,Caspian,
290,20,IRC3873,2022-01-24,Isfahan,Ahwaz,20:40:00,Aseman,
291,20,IRZ157,2022-01-24,Shiraz,Tehran,20:40:00,Saha,
292,20,KIS7125,2022-01-24,Tehran,Kish,20:45:00,KishAir,
293,20,KRU2616,2022-01-24,Tehran,Ahwaz,20:45:00,Karun,
294,20,IRA3337,2022-01-24,Isfahan,Ahwaz,20:50:00,IranAir,
295,20,IRC824,2022-01-24,Tehran,Shiraz,20:55:00,Aseman,
296,21,IRM1052,2022-01-24,Kerman,Tehran,21:00:00,Mahan,
297,21,IZG4056,2022-01-24,Mashhad,Tehran,21:00:00,Zagros,
298,21,KRU2645,2022-01-24,Ahwaz,Tehran,21:00:00,Karun,
299,21,PRS4456,2022-01-24,Tehran,Sirjan,21:00:00,ParsAir,
300,21,SHI4366,2022-01-24,Mashhad,Abadan,21:00:00,Sepehran,
301,21,TBN6303,2022-01-24,Mashhad,Tehran,21:00:00,Taban,
302,21,TBN6246,2022-01-24,Ahwaz,Tehran,21:05:00,Taban,
303,21,VRH5872,2022-01-24,Tehran,Bushehr,21:05:00,Varsh,
304,21,IRA3369,2022-01-24,Mashhad,Sari,21:10:00,IranAir,
305,21,IRC619,2022-01-24,Yazd,Mashhad,21:10:00,Aseman,
306,21,CPN018,2022-01-24,Tehran,Ahwaz,21:15:00,Caspian,
307,21,IRB901,2022-01-24,Tabriz,Mashhad,21:30:00,IranAirTour,
308,21,VRH5841,2022-01-24,Mashhad,Tehran,21:30:00,Varsh,
309,21,IRC3724,2022-01-24,Tehran,Yazd,21:40:00,Aseman,
310,21,IRZ173,2022-01-24,Bushehr,Tehran,21:40:00,Saha,
311,21,IRC3750,2022-01-24,Tehran,Abadan,21:50:00,Aseman,
312,21,IRC3818,2022-01-24,Shiraz,Abadan,21:50:00,Aseman,
313,21,IZG4048,2022-01-24,Zahedan,Tehran,21:50:00,Zagros,
314,22,IRC3891,2022-01-24,Ahwaz,Shiraz,22:00:00,Aseman,
315,22,TBZ5606,2022-01-24,Tehran,Tabriz,22:00:00,Ata,
316,22,TBZ5624,2022-01-24,Shiraz,Tehran,22:00:00,Ata,
317,22,TBZ5640,2022-01-24,Ahwaz,Mashhad,22:00:00,Ata,
318,22,IZG4017,2022-01-24,Tehran,Ahwaz,22:05:00,Zagros,
319,22,IRC833,2022-01-24,Ahwaz,Tehran,22:10:00,Aseman,
320,22,TBZ5619,2022-01-24,Tehran,Mashhad,22:10:00,Ata,
321,22,SHI4340,2022-01-24,Tehran,Mashhad,22:20:00,Sepehran,
322,22,TBZ5679,2022-01-24,Urumia,Tehran,22:30:00,Ata,
323,22,CPN027,2022-01-24,Mashhad,Tehran,22:40:00,Caspian,
324,22,CPN049,2022-01-24,Shiraz,Tehran,22:40:00,Caspian,
325,22,KRU2617,2022-01-24,Ahwaz,Tehran,22:40:00,Karun,
326,22,IRC819,2022-01-24,Zahedan,Shiraz,22:45:00,Aseman,
327,22,KIS7129,2022-01-24,Tehran,Kish,22:45:00,KishAir,
328,22,PRS4407,2022-01-24,Shiraz,Tehran,22:45:00,ParsAir,
329,22,KIS7151,2022-01-24,Tehran,Shiraz,22:50:00,KishAir,
330,22,IRA3470,2022-01-24,Ahwaz,Tehran,22:55:00,IranAir,
331,22,KRU2644,2022-01-24,Tehran,Ahwaz,22:55:00,Karun,
332,23,IRB964,2022-01-24,Tehran,Mashhad,23:00:00,IranAirTour,
333,23,VRH5873,2022-01-24,Bushehr,Tehran,23:00:00,Varsh,
334,23,CPN019,2022-01-24,Ahwaz,Tehran,23:10:00,Caspian,
335,23,IRC603,2022-01-24,Mashhad,Tehran,23:10:00,Aseman,
336,23,IRC825,2022-01-24,Shiraz,Tehran,23:10:00,Aseman,
337,23,IRA235,2022-01-24,Shiraz,Tehran,23:15:00,IranAir,
338,23,IRB977,2022-01-24,Abadan,Mashhad,23:15:00,IranAirTour,
339,23,IRC3725,2022-01-24,Yazd,Tehran,23:20:00,Aseman,
340,23,IZG4057,2022-01-24,Tehran,Mashhad,23:30:00,Zagros,
341,23,IRA3319,2022-01-24,Sari,Tehran,23:40:00,IranAir,
342,23,IRM1053,2022-01-24,Tehran,Kerman,23:40:00,Mahan,
343,23,IRC3819,2022-01-24,Abadan,Shiraz,23:45:00,Aseman,
344,23,IZG4016,2022-01-24,Ahwaz,Tehran,23:45:00,Zagros,
345,23,SHI4367,2022-01-24,Abadan,Mashhad,23:45:00,Sepehran,
346,23,TBN6258,2022-01-24,Tehran,Mashhad,23:45:00,Taban,
